Title,Authors,Paper_URL
From Scarcity to Efficiency: Investigating the Effects of Data Augmentation on African Machine Translation,"Mardiyyah Oduwole, Oluwatosin Olajide, Jamiu Tunde Suleiman, Faith Hunja, Busayo Awobade, Comfort Oyindamola Akanni, Fatimo Adebanjo, Chinonyelum Rosemary Igwe, Peace Ododo, Promise Omoigui, Abraham Toluwase Owodunni, Steven Kolawole",https://openreview.net/forum?id=tVxcPMQWtC
"Open, Reproducible Morphology Probes for Plains Cree",Duncan Stothers,https://openreview.net/forum?id=USNIRdtp36
When Gujarati Meets English: Toward Robust Translation of Code-Mixed Low Resourced Indian Language,"Mukund Agarwalla, Himanshu Kumar, Nishat Afshan Ansari",https://openreview.net/forum?id=2YnbMfsN2t
Sentence-Aware Bahnaric-Vietnamese Lexical Mapping with Contrastive Contextual Representations,"Thi Ty Nguyen, Phat T. Tran-Truong, Long Nguyen, Tan Sang Nguyen, Tho Quan",https://openreview.net/forum?id=JnDLZSEwOD
"One Model, Many Worlds: Cross-Lingual Fine-Tuning Can Improve Low-Resource Capabilities of Language Model","Tyler Slomianyj, Rudraansh Korlakunta, Victor He, Daniel Gao, Sunishchal Dev, Kevin Zhu, Aryan Shrivastava",https://openreview.net/forum?id=9MDdSocwIs
Reflective Translation: Enhancing Low-Resource Machine Translation through Self-Reflection,"Lailah Denny, Nicholas Cheng, Agrim Sharma, Erin Tan",https://openreview.net/forum?id=T7By0t6yaf
ENLIVEN-1000: A Comprehensive Revitalization Framework for 1000+ Endangered Languages via Broad-Coverage LID and LLM-Augmented MT,Philip Meng,https://openreview.net/forum?id=BhfieZOeo5
From Bias to Balance: How Multilingual Dataset Composition Affects Tokenizer Performance Across Languages,"Aishwarya Selvamurugan, Raj Dandekar, Rajat Dandekar, Sreedath Panat",https://openreview.net/forum?id=P2k908rWSP
Not All Data Augmentation Works: A Typology-Aware Study for Low-Resource Neural Machine Translation in Vietnamese Ethnic Minority Languages,"Long Nguyen, Dat T. Truong, Nhan D. Tran, Quynh Vo, Quy Tran Nguyen, Tho Quan",https://openreview.net/forum?id=XziOk4BTfv
Jo.E(Joint Evaluation) : A Multi-Agent Collaborative Framework for Comprehensive AI Safety Evaluation of Language Models,Himanshu Joshi,https://openreview.net/forum?id=f3oydpXzMM
VLM-guided Object-level Segmentation from Dynamic Scene,Feiran Yang,https://openreview.net/forum?id=HdKJV0nNa9
PeerCoPilot: A Language Model-Powered Assistant for Behavioral Health Organizations,"Gao Mo, Naveen Janaki Raman, Megan Chai, Cindy Peng, Shannon Pagdon, Nev Jones, Hong Shen, Margaret Swarbrick, Fei Fang",https://openreview.net/forum?id=wfTJQTWpZt
The Resonance Corpus: Chinese Caregiver-Child Dialogue for Community-Aligned Language Models,"Lingqin Meng, Yang Gao, Zhongzhi Huo, Stella Christie",https://openreview.net/forum?id=Kkc5qXtTex
RuSignBot: Russian Sign Language Synthesis via Customized MimicMotion,"Daria Bondarenko, Emilia Bojarskaja, Maxim Novopoltsev, Aleksandr Tulenkov, Ruslan Murtazin, Iuliia Zemtsova, Ilya Makarov, Andrey Savchenko",https://openreview.net/forum?id=wF5MQoFObq
